PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Bercanda Coffee  Eatery,,,,,,,
,https://www.google.com/maps/search/Bercanda Coffee  Eatery jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,5 bulan lalu,Tara Jasmine,-,1 ulasan,"Tempat terbaik buat ngobrol ma teman kencan, keluarga atau hanya tengak tenguk saja. Sunyi adem buat healing sih. Kopinya terbaikkkkk!!!!!! 💛💛💛",5
,,2 bulan lalu,randy valent,-,6 ulasan,"tempat kopi keren parah, suasana tempat nyaman buat nongkrong santai ngobrol2....harga bersahabat...",5
,,2 minggu lalu,astri widiastuti setiyawati,Local Guide,23 ulasan,"Untuk tempat enak buat nongkrong lama, minumannya juga enak",5
,,4 minggu lalu,bernadeta banowati bertyamega,-,3 ulasan,"Kopinya 👍🏼 suasana ok, nyaman …",5
,,5 bulan lalu,Citra Marfitriana,-,2 ulasan,"Tempat ngopi nyaman buat nungkrung sama pasangan dan teman, gak cuman minuman atau cemilan mau makan berat juga ada enak enak .yeay",5
,,5 bulan lalu,yuliana Heri,-,1 ulasan,"Tempat nyaman, enak buat ngobrol n rapat2, makanannya enak-enak n banyak variasi. Pokoknya bercanda muantaaap👍👍👍👍👍",5
,,2 tahun lalu,Sony Adam Saputra,Local Guide,1.152 ulasan,"Kalau sepi, enak sih buat sekadar meeting. Minumannya enak kok. Aku pesen apa ya.. arum manis kalau gak salah. Mantap sih.

Cuman friesnya aja yang underseasoned.. coba ada sprinkle salt and pepper would be so appreciated.. haha..",5
,,5 bulan lalu,Tineke Ice,-,4 ulasan,"Cobain bercanda manies ma ice greenteanya, bakalan jajan lagi dan lagi🫶
Yang pengen makanan berat, bisa mam ricebowl sambal matah, nasigoreng atauuuuu bakmi godog jawa nya recommended lhoo🖤",5
,,5 bulan lalu,haris ahmad,-,1 ulasan,"Rekomended banget buat kalian yang pengen nongkrong di jogja !!!
Disamping menunya enak2 , suasananya juga nyaman menyenangkan 😍😍 …",5
,,3 bulan lalu,Kenny Yusie,-,1 ulasan,Makananya enak banget!,5
,,5 bulan lalu,Anastasia Hesti Purwaningsih,-,1 ulasan,"Cocok tempatnya utk nongkrong,pilihan makanannya banyak dan enak",5
,,5 bulan lalu,Dita Permata,-,7 ulasan,"Lokasi strategis, belakang pakuwon mall jogja.
Tempat dan rasa oke banget. Must try 👌🏻 …",5
,,5 bulan lalu,dwi purnomo,-,6 ulasan,"Ternyata semua nggk ada yg bercanda … , tempat, menu dan suasananya seriusss !!!bikin betah dan nagih ❤️❤️❤️",5
,,5 bulan lalu,Mimi Sitoresmi,-,2 ulasan,kopinya nagih suka bikin kangennnn🥰 budget kantong pelajar ygy,5
,,3 bulan lalu,Fajar Bagaskara Dwi Atmojo,Local Guide,53 ulasan,di map sudah buka tp di datangin blm buka. mohon di perbarui jam buka nya,1
,,5 bulan lalu,dont subscribe,Local Guide,395 ulasan,"Kemarin kesini semoga saja cepat buka.buat nongkrong  nongkrong

Terimakasih",5
,,5 bulan lalu,Pramana Putra,-,5 ulasan,"Parkir luas, minuman dan makananya bikin nagih",5
,,3 bulan lalu,Rizkiana maula Putri,-,4 ulasan,Tempatnya bagus untuk meeting besar,5
,,2 tahun lalu,enfitrianes law,Local Guide,16 ulasan,Semoga tetap laris ya mbak. Owner nya Baek sekali dan murah hati,5
,,2 tahun lalu,Hasian Hasian,Local Guide,556 ulasan,"Keren tempatnya, minuman enak bgt, harga terjangkau 👍👍👍👍 …",5
,,5 bulan lalu,Bintang Yogha,-,2 ulasan,Selalu jadi favorite kalo ke jogja.,5
,,5 bulan lalu,Putri A,-,3 ulasan,kopinya mantappp😬👍🏿 …,5
,,2 tahun lalu,Mr Bow,Local Guide,42 ulasan,"Mantap , ada pakai Frisian falg rasa jadi ok",5
,,sebulan lalu,Adani Wiam,-,2 ulasan,tidak pernah merespon dm,1
,,4 bulan lalu,Heru Sulistyowati,-,2 ulasan,Oke👍👍 …,5
