PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Angkringan Sor Talok TWC Prambanan,,,,,,,
,https://www.google.com/maps/search/Angkringan Sor Talok TWC Prambanan jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
